X,Y,InitialLatitude,InitialLongitude,POOState
-89.402655657,34.351586361,34.35164,-89.40273,US-MS
-82.198059356,37.095840518,,,US-VA
-104.284609293,32.279275317,32.26569,-104.291,US-NM
-117.774172107,34.034974881,34.03497,-117.77416,US-CA
-94.4577134309999,30.4129759670001,30.41297061,-94.45770663,US-TX
-89.011335357,30.725875617,30.74985,-88.99963,US-MS
-96.33809067,31.5284888480001,31.52848333,-96.33808333,US-TX
-82.192223712,36.4129370790001,36.4677,-82.11579,US-TN
-118.009414422,48.7364561570001,48.73644,-118.0082,US-WA
-94.657437377,38.248266834,38.24826,-94.65743,US-KS
-81.811773253,29.080835461,29.09738,-81.81277,US-FL
-75.564001672,35.8410071960001,35.85408,-75.57812,US-NC
-92.380396714,37.687206858,37.6872,-92.38039,US-MO
-117.969582183,34.5577949280001,34.55779,-117.96957,US-CA
-96.399937607,35.5016162580001,35.50161,-96.39993,US-OK
-94.791173907,35.7426730810001,,,US-OK
-123.462346601,39.6269050070001,39.6269,-123.462333,US-CA
-91.015895931,31.312575672,31.31082,-91.03271,US-MS
-110.64231133,39.595545997,39.59554,-110.6423,US-UT
-116.786531844,32.831944794,32.83194,-116.78652,US-CA
-116.995289682,32.844449185,,,US-CA
-95.557086746,48.296303806,,,US-MN
-103.711010425,44.29272711,44.29272,-103.711,US-SD
-94.753067291,36.9530066020001,36.953,-94.75306,US-OK
-116.11390131,39.7200055980001,,,US-NV
-106.716410014,34.8017055990001,34.8017,-106.7164,US-NM
-89.779727787,31.145005681,,,US-MS
-95.496308859,47.9824082370001,47.9824,-95.4963,US-MN
-118.219932191,34.151744868,34.15174,-118.21992,US-CA
-117.828912123,34.1208548870001,34.12085,-117.8289,US-CA
-120.544070686,35.4693588650001,35.469354,-120.544058,US-CA
-117.978002147,34.1038048770001,34.1038,-117.97799,US-CA
-118.29051221,34.235004873,34.235,-118.2905,US-CA
-99.7150102149999,48.8923579940001,,,US-ND
-81.696947799,33.365562047,,,US-SC
-97.627987769,33.3473258070001,33.35371,-97.62864,US-TX
-111.523710881,33.0352950880001,33.03529,-111.5237,US-AZ
-82.9052538939999,35.932016951,35.93201,-82.90525,US-TN
-93.676992661,30.677606,30.67760056,-93.67698605,US-TX
-81.899743281,29.1583654770001,29.15655,-81.90059,US-FL
-120.132945866,37.820538114,37.820533,-120.132933,US-CA
-108.845310491,35.054015517,35.05401,-108.8455,US-NM
-121.642126997,36.875012923,36.875008,-121.642114,US-CA
-118.187012165,33.900094842,33.90009,-118.187,US-CA
-83.0777815659999,32.605561832,,,US-GA
-103.029510019,42.679826958,42.67982,-103.0295,US-NE
-118.367812198,33.9329848360001,33.93298,-118.3678,US-CA
-122.663625602,45.6272276720001,,,US-WA
-110.107710603,33.126335173,33.13854,-110.1243,US-AZ
-94.559367144,35.72772639,35.72772,-94.55936,US-OK
-110.390010878,35.8283388670001,,,US-AZ
-93.93004,30.54058874,30.54058333,-93.93003333,US-TX
-118.3576422,33.974574841,33.97457,-118.35763,US-CA
-108.308310773,39.062416097,39.06219,-108.3087,US-CO
-96.525007601,34.988556159,34.98855,-96.525,US-OK
-122.11043408,36.9862739000001,36.986269,-122.110421,US-CA
-108.746401304,48.467229327,,,US-MT
-118.084152154,33.9761948570001,33.97619,-118.08414,US-CA
-88.943025355,31.1066357020001,31.10673,-88.94315,US-MS
-86.222645569,44.1564083150001,44.15889,-86.21971,US-MI
-112.333611589,38.9015757920001,38.90157,-112.3336,US-UT
-118.157912225,34.674924929,34.67492,-118.1579,US-CA
-85.623294562,33.827026404,33.82702,-85.62329,US-AL
-82.930870896,35.8523129340001,35.852306,-82.930867,US-TN
-110.091510599,33.1144651720001,33.11373,-110.0897,US-AZ
-118.105512153,33.914654849,33.91465,-118.1055,US-CA
-94.788896154,36.368062095,,,US-OK
