X,Y,InitialLatitude,InitialLongitude,POOState
-117.031129942,33.5708798690001,33.570875,-117.031118,US-CA
-118.153412222,34.649714927,34.64971,-118.1534,US-CA
-118.094592215,34.684364934,34.68436,-118.09458,US-CA
-117.791352112,34.061304883,34.0613,-117.79134,US-CA
-121.946730697,41.8326222960001,41.832617,-121.946717,US-CA
-119.826421779,37.4944411060001,37.494436,-119.826409,US-CA
-117.902942138,34.1587048870001,34.1587,-117.90293,US-CA
-118.369122201,33.961624839,33.96162,-118.36911,US-CA
-121.26069389,36.4083269070001,36.408322,-121.260681,US-CA
-118.090482162,34.062684866,34.06268,-118.09047,US-CA
-118.378692271,34.775484927,34.77548,-118.37868,US-CA
-117.907612136,34.1207148830001,34.12071,-117.9076,US-CA
-121.826843038,36.9897549200001,36.98975,-121.82683,US-CA
-118.795612339,34.7551449000001,34.75514,-118.7956,US-CA
-119.613332725,37.3134531040001,37.313448,-119.61332,US-CA
-118.082012162,34.0805148680001,34.08051,-118.082,US-CA
-118.661112298,34.5482048860001,34.56934,-118.6871,US-CA
-117.44881207,34.2651749250001,34.23737,-117.4175,US-CA
-116.992454963,33.918655911,33.918651,-116.992443,US-CA
-118.134432223,34.6948649330001,34.69486,-118.13442,US-CA
-117.949062174,34.495244922,34.49919,-117.94042,US-CA
-117.485512073,34.2317449190001,34.23893,-117.4981,US-CA
-117.842412115,34.000944873,34.00094,-117.8424,US-CA
-119.696541733,37.2692330940001,37.269228,-119.696529,US-CA
-118.133552213,34.5769249200001,34.57692,-118.13354,US-CA
-119.676081691,36.9090340610001,36.909029,-119.676069,US-CA
-118.145522226,34.7039249330001,34.70392,-118.14551,US-CA
-116.110662305,32.63823288,32.637513,-116.113672,US-CA
-117.982122148,34.1095948770001,34.10959,-117.98211,US-CA
-122.404213191,37.580744929,37.58074,-122.4042,US-CA
-118.369312201,33.9616048390001,33.9616,-118.3693,US-CA
-117.256942001,33.826558886,33.826554,-117.25693,US-CA
-117.171857931,33.107554807,33.10755,-117.171846,US-CA
-119.986915806,37.500827095,37.500822,-119.986903,US-CA
-118.722212274,34.1385748380001,34.13857,-118.7222,US-CA
